POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
140,Rishabh Pant,34,17,200,3,2,RCB,Wankhede Stadium,16 April 2022
141,Rishabh Pant,44,24,183.33,4,2,RR,Wankhede Stadium,22 April 2022
142,Rishabh Pant,13,4,325,0,2,RR,DY Patil Stadium,11 May 2022
143,Rishabh Pant,39,36,108.33,3,2,LSG,DY Patil Stadium,07 April 2022
144,Washington Sundar,40,14,285.71,5,2,RR,Maharashtra Cricket Association Stadium,29 March 2022
145,Umesh Yadav,21,9,233.33,1,2,RR,Brabourne - CCI,18 April 2022
146,Marcus Stoinis,27,17,158.82,1,2,RR,Brabourne - CCI,15 May 2022
147,Glenn Maxwell,33,24,137.5,3,2,SRH,Wankhede Stadium,08 May 2022
148,Glenn Maxwell,33,18,183.33,3,2,GT,Brabourne - CCI,30 April 2022
149,Glenn Maxwell,40,18,222.22,5,2,GT,Wankhede Stadium,19 May 2022
150,Glenn Maxwell,55,34,161.76,7,2,DC,Wankhede Stadium,16 April 2022
151,Glenn Maxwell,26,11,236.36,2,2,CSK,DY Patil Stadium,12 April 2022
152,Glenn Maxwell,24,13,184.61,1,2,RR,Narendra Modi Stadium,27 May 2022
153,Ravichandran Ashwin,50,38,131.57,4,2,DC,DY Patil Stadium,11 May 2022
154,Ravichandran Ashwin,28,23,121.73,0,2,LSG,Wankhede Stadium,10 April 2022
155,Ravindra Jadeja,22,12,183.33,0,2,GT,Maharashtra Cricket Association Stadium,17 April 2022
156,Prithvi Shaw,61,34,179.41,9,2,LSG,DY Patil Stadium,07 April 2022
157,Prithvi Shaw,38,24,158.33,4,2,MI,Brabourne - CCI,27 March 2022
158,Prithvi Shaw,51,29,175.86,7,2,KKR,Brabourne - CCI,10 April 2022
159,Hardik Pandya,67,49,136.73,4,2,KKR,DY Patil Stadium,23 April 2022
160,Mayank Agarwal,32,24,133.33,2,2,RCB,DY Patil Stadium,27 March 2022
161,Mayank Agarwal,25,17,147.05,2,2,LSG,Maharashtra Cricket Association Stadium,29 April 2022
162,Mayank Agarwal,52,32,162.5,6,2,MI,Maharashtra Cricket Association Stadium,13 April 2022
163,MS Dhoni,21,8,262.5,1,2,DC,DY Patil Stadium,08 May 2022
164,MS Dhoni,36,33,109.09,4,2,MI,Wankhede Stadium,12 May 2022
165,Ambati Rayudu,46,31,148.38,4,2,GT,Maharashtra Cricket Association Stadium,17 April 2022
166,Ambati Rayudu,27,20,135,2,2,LSG,Brabourne - CCI,31 March 2022
167,Shubman Gill,52,36,144.44,6,2,MI,Brabourne - CCI,06 May 2022
168,Kane Williamson,47,37,127.02,2,2,CSK,Maharashtra Cricket Association Stadium,01 May 2022
169,Faf Du Plessis,96,64,150,11,2,LSG,DY Patil Stadium,19 April 2022
170,Faf Du Plessis,73,50,146,8,2,SRH,Wankhede Stadium,08 May 2022
171,Sam Billings,17,12,141.66,0,2,MI,Maharashtra Cricket Association Stadium,06 April 2022
172,Shardul Thakur,17,9,188.88,0,2,RCB,Wankhede Stadium,16 April 2022
173,Avesh Khan,12,4,300,0,2,GT,Maharashtra Cricket Association Stadium,10 May 2022
174,Axar Patel,19,10,190,0,2,MI,Wankhede Stadium,21 May 2022
175,Rahul Tewatia,40,21,190.47,4,2,SRH,Wankhede Stadium,27 April 2022
176,Rahul Tewatia,43,25,172,5,2,RCB,Brabourne - CCI,30 April 2022
177,Rahul Tewatia,40,24,166.66,5,2,LSG,Wankhede Stadium,28 March 2022
178,Rahul Tewatia,13,3,433.33,0,2,PBKS,Brabourne - CCI,08 April 2022
179,David Miller,30,21,142.85,1,2,LSG,Wankhede Stadium,28 March 2022
180,David Miller,27,20,135,1,2,KKR,DY Patil Stadium,23 April 2022
181,Nicholas Pooran,34,24,141.66,3,2,LSG,DY Patil Stadium,04 April 2022
182,Nicholas Pooran,34,18,188.88,2,2,GT,DY Patil Stadium,11 April 2022
183,Nitish Rana,54,36,150,6,2,SRH,Brabourne - CCI,15 April 2022
184,Nitish Rana,48,37,129.72,3,2,RR,Wankhede Stadium,02 May 2022
185,Robin Uthappa,28,21,133.33,2,2,KKR,Wankhede Stadium,26 March 2022
186,Robin Uthappa,30,25,120,2,2,MI,DY Patil Stadium,21 April 2022
187,Ishan Kishan,81,48,168.75,11,2,DC,Brabourne - CCI,27 March 2022
188,Kieron Pollard,25,14,178.57,1,2,LSG,Brabourne - CCI,16 April 2022
189,Quinton De Kock,46,37,124.32,4,2,PBKS,Maharashtra Cricket Association Stadium,29 April 2022
190,Quinton De Kock,80,52,153.84,9,2,DC,DY Patil Stadium,07 April 2022
191,Suryakumar Yadav,52,36,144.44,5,2,KKR,Maharashtra Cricket Association Stadium,06 April 2022
192,Suryakumar Yadav,51,39,130.76,5,2,RR,DY Patil Stadium,30 April 2022
193,Jos Buttler,89,56,158.92,12,2,GT,Eden Gardens,24 May 2022
194,Liam Livingstone,19,10,190,0,2,RCB,DY Patil Stadium,27 March 2022
195,Liam Livingstone,18,16,112.5,0,2,LSG,Maharashtra Cricket Association Stadium,29 April 2022
196,Liam Livingstone,22,14,157.14,1,2,RR,Wankhede Stadium,07 May 2022
197,Liam Livingstone,19,7,271.42,1,2,CSK,Wankhede Stadium,25 April 2022
198,Mahipal Lomror,42,27,155.55,3,2,CSK,Maharashtra Cricket Association Stadium,04 May 2022
199,Manan Vohra,19,11,172.72,1,2,RCB,Eden Gardens,25 May 2022
200,Rahul Tripathi,58,37,156.75,6,2,RCB,Wankhede Stadium,08 May 2022
201,Rahul Tripathi,39,15,260,5,2,CSK,DY Patil Stadium,09 April 2022
202,Riyan Parag,19,12,158.33,1,2,KKR,Wankhede Stadium,02 May 2022
203,Sanju Samson,38,19,200,3,2,KKR,Brabourne - CCI,18 April 2022
204,Sanju Samson,23,21,109.52,1,2,RCB,Narendra Modi Stadium,27 May 2022
205,Sanju Samson,16,7,228.57,0,2,MI,DY Patil Stadium,30 April 2022
206,Devdutt Padikkal,37,29,127.58,2,2,RCB,Wankhede Stadium,05 April 2022
207,Devdutt Padikkal,54,35,154.28,7,2,DC,Wankhede Stadium,22 April 2022
