POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
220,Rishabh Pant,39,36,108.33,3,2,LSG,DY Patil Stadium,07 April 2022
221,K L Rahul,68,51,133.33,3,4,KKR,DY Patil Stadium,18 May 2022
222,K L Rahul,79,58,136.2,3,5,RCB,Eden Gardens,25 May 2022
223,K L Rahul,30,24,125,3,1,RCB,DY Patil Stadium,19 April 2022
224,Washington Sundar,25,19,131.57,3,1,PBKS,Wankhede Stadium,22 May 2022
225,Glenn Maxwell,23,11,209.09,3,1,LSG,DY Patil Stadium,19 April 2022
226,Glenn Maxwell,33,24,137.5,3,2,SRH,Wankhede Stadium,08 May 2022
227,Glenn Maxwell,33,18,183.33,3,2,GT,Brabourne - CCI,30 April 2022
228,Glenn Maxwell,35,22,159.09,3,1,PBKS,Brabourne - CCI,13 May 2022
229,Mitchell Marsh,37,20,185,3,3,LSG,Wankhede Stadium,01 May 2022
230,Mitchell Marsh,25,20,125,3,1,CSK,DY Patil Stadium,08 May 2022
231,Ajinkya Rahane,25,24,104.16,3,0,MI,DY Patil Stadium,09 May 2022
232,Ajinkya Rahane,12,11,109.09,3,0,PBKS,Wankhede Stadium,01 April 2022
233,Ravichandran Ashwin,21,9,233.33,3,1,MI,DY Patil Stadium,30 April 2022
234,Ravindra Jadeja,17,9,188.88,3,0,LSG,Brabourne - CCI,31 March 2022
235,Hardik Pandya,34,30,113.33,3,1,RR,Narendra Modi Stadium,29 May 2022
236,Mayank Agarwal,19,16,118.75,3,0,RCB,Brabourne - CCI,13 May 2022
237,MS Dhoni,28,13,215.38,3,1,MI,DY Patil Stadium,21 April 2022
238,Shubman Gill,18,17,105.88,3,0,CSK,Wankhede Stadium,15 May 2022
239,Shubman Gill,31,28,110.71,3,1,RCB,Brabourne - CCI,30 April 2022
240,Shubman Gill,45,43,104.65,3,1,RR,Narendra Modi Stadium,29 May 2022
241,Mohammed Siraj,14,11,127.27,3,0,CSK,DY Patil Stadium,12 April 2022
242,Kane Williamson,17,16,106.25,3,0,KKR,Brabourne - CCI,15 April 2022
243,David Willey,18,28,64.28,3,0,KKR,DY Patil Stadium,30 March 2022
244,Faf Du Plessis,23,21,109.52,3,1,RR,Maharashtra Cricket Association Stadium,26 April 2022
245,Faf Du Plessis,25,27,92.59,3,0,RR,Narendra Modi Stadium,27 May 2022
246,Faf Du Plessis,88,57,154.38,3,7,PBKS,DY Patil Stadium,27 March 2022
247,Jagadeesan Narayan,39,33,118.18,3,1,GT,Wankhede Stadium,15 May 2022
248,Ruturaj Gaikwad,28,23,121.73,3,1,RCB,Maharashtra Cricket Association Stadium,04 May 2022
249,Ruturaj Gaikwad,17,16,106.25,3,0,RCB,DY Patil Stadium,12 April 2022
250,Ruturaj Gaikwad,16,13,123.07,3,0,SRH,DY Patil Stadium,09 April 2022
251,Sam Billings,34,29,117.24,3,1,SRH,Maharashtra Cricket Association Stadium,14 May 2022
252,David Miller,68,38,178.94,3,5,RR,Eden Gardens,24 May 2022
253,David Miller,32,19,168.42,3,1,RR,Narendra Modi Stadium,29 May 2022
254,Nicholas Pooran,64,33,193.93,3,6,CSK,Maharashtra Cricket Association Stadium,01 May 2022
255,Nicholas Pooran,34,24,141.66,3,2,LSG,DY Patil Stadium,04 April 2022
256,Sarfaraz Khan,36,28,128.57,3,0,LSG,DY Patil Stadium,07 April 2022
257,Andre Russell,49,28,175,3,4,SRH,Maharashtra Cricket Association Stadium,14 May 2022
258,Andre Russell,45,19,236.84,3,5,LSG,Maharashtra Cricket Association Stadium,07 May 2022
259,Andre Russell,24,21,114.28,3,0,DC,Brabourne - CCI,10 April 2022
260,Nitish Rana,57,34,167.64,3,4,DC,Wankhede Stadium,28 April 2022
